Method,Run,Iteration,RMSE,Fitness,Time_ms,Trans_Error_m,Rot_Error_deg,P2P_RMSE,Chamfer_Distance,dx_wx,dx_wy,dx_wz,dx_x,dx_y,dx_z,grad_wx,grad_wy,grad_wz,grad_x,grad_y,grad_z,objective_value,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Full_SVD,Degenerate_0,Degenerate_1,Degenerate_2,Degenerate_3,Degenerate_4,Degenerate_5,Is_Degenerate
ME-SR,0,27,0.19757776,0.05871463,0.60639700,3.65898960,0.96193100,0.02203867,0.92286818,-0.00019131,-0.00016956,0.00147995,0.00001891,-0.00000926,-0.00001339,3.28064591,3.09514335,-1.25912114,1.58957223,3.87660895,-0.34150953,2.79409389,0.99942074,-0.03107033,-0.01388606,0.19941063,0.03027500,0.99806993,-0.05422032,0.79691316,0.01554390,0.05376851,0.99843244,0.50047584,0.00000000,0.00000000,0.00000000,1.00000000,4.90590810,29.07076007,20.59492465,43.94316871,18738.48623463,1,1,1,0,0,0,1
ME-SR,0,28,0.19672370,0.05778894,0.55356400,3.62612255,0.96194406,0.02196037,0.92276552,0.00018855,0.00016997,-0.00147501,-0.00001122,0.00000789,0.00001922,-2.52169688,-3.34911308,1.65889546,0.99148138,4.12792897,-0.30051121,2.74615347,0.99946783,-0.02959874,-0.01371046,0.19939890,0.02881204,0.99810326,-0.05440348,0.79691965,0.01529473,0.05397951,0.99842490,0.50049528,0.00000000,0.00000000,0.00000000,1.00000000,4.96727999,29.17357991,15.56755313,39.94841633,18229.69128231,1,1,1,0,0,0,1
ME-SR,0,29,0.19732921,0.05884687,0.59088200,3.65982914,0.96193315,0.02216712,0.92299303,-0.00017933,-0.00021501,0.00146769,0.00001555,-0.00000996,-0.00001308,3.19059939,3.84923254,-1.24998581,1.66563714,3.88456614,-0.34306422,2.79837273,0.99942034,-0.03106313,-0.01393079,0.19941492,0.03026524,0.99806965,-0.05423085,0.79691086,0.01558847,0.05377780,0.99843124,0.50048192,0.00000000,0.00000000,0.00000000,1.00000000,4.90618160,29.11931224,20.64043471,44.19522595,18774.89948770,1,1,1,0,0,0,1
ME-TReg,0,0,0.31669773,0.05170590,0.66319100,2.54790587,0.94703135,0.01831878,0.79159601,0.02935217,-0.01202980,-0.00478315,-0.01191083,-0.01387360,-0.00609464,-11.53098942,58.00713490,10.00087886,4.90875050,1.81945118,0.28048504,3.71012454,0.99950020,-0.03022496,-0.00926317,0.18856958,0.02992055,0.99905879,-0.03140518,0.78572945,0.01020367,0.03111232,0.99946381,0.49390195,0.00000000,0.00000000,0.00000000,1.00000000,7.09889815,26.80557587,13.65817741,85.29248112,14845.67227786,1,1,1,0,0,0,1
ME-TReg,0,1,0.24028071,0.06823592,0.53479900,3.46215404,0.91734853,0.02161295,0.89017496,0.01814530,-0.00483347,0.00149669,-0.01251005,-0.03767052,0.00888843,-153.55112658,56.92667989,-7.18246406,6.08252998,12.04308735,-0.25891794,4.34759755,0.99939860,-0.03192767,-0.01353022,0.17712204,0.03121933,0.99827741,-0.04967461,0.74744093,0.01509291,0.04922233,0.99867380,0.50148595,0.00000000,0.00000000,0.00000000,1.00000000,3.28239280,27.12301662,6.51143738,44.39421467,16521.61737968,1,1,1,0,0,0,1
ME-TReg,0,2,0.19328840,0.05739222,0.53134600,3.43050831,0.88663896,0.02237246,0.87742076,-0.00132411,0.00206068,0.00180949,-0.01367623,-0.03454983,0.00192592,-14.79891867,-20.35488024,-2.38090946,0.21882000,4.65673039,-0.20482895,2.55135998,0.99936501,-0.03371946,-0.01151428,0.16453106,0.03312665,0.99828405,-0.04828648,0.71242798,0.01312271,0.04787439,0.99876716,0.50150228,0.00000000,0.00000000,0.00000000,1.00000000,8.38357477,18.52507834,19.91406988,52.76153274,12151.54087667,1,1,1,0,0,0,1
ME-TReg,0,3,0.17879326,0.05911135,0.51032600,3.20837787,0.85480152,0.02339331,0.86089128,-0.00129386,0.00043854,-0.00511181,-0.00871377,-0.03691836,0.00041506,-16.07917966,1.31754146,6.69199277,1.08951489,4.93963396,-0.15011581,2.44998263,0.99952924,-0.02859582,-0.01111629,0.15706292,0.02804393,0.99850203,-0.04698129,0.67526428,0.01244311,0.04664743,0.99883391,0.50003503,0.00000000,0.00000000,0.00000000,1.00000000,4.38733599,18.47898074,12.16528888,57.12782183,11792.23268585,1,1,1,0,0,0,1
ME-TReg,0,4,0.18302384,0.06083047,0.62554900,3.37144886,0.81880717,0.02430059,0.85336173,-0.00162282,0.00106815,0.00776439,-0.01989971,-0.03993242,0.00039855,-13.32371626,4.49396970,-8.87411393,2.65607469,5.42298710,-0.14402009,2.64970582,0.99928849,-0.03633845,-0.01010145,0.13831004,0.03584536,0.99832889,-0.04532691,0.63481488,0.01173168,0.04493257,0.99892113,0.49832276,0.00000000,0.00000000,0.00000000,1.00000000,4.23553743,46.67529187,17.03814462,96.34077148,26265.34452209,1,1,1,0,0,0,1
ME-TReg,0,5,0.17762532,0.06135943,0.58778300,3.24926758,0.78429379,0.02477971,0.83411439,-0.00249275,0.00102209,-0.00008620,-0.00624684,-0.04232503,0.00004546,-4.64119139,-8.63749236,-1.66379410,0.01479986,5.17598246,-0.07973061,2.42514723,0.99930146,-0.03622829,-0.00917053,0.13360522,0.03580433,0.99844182,-0.04280157,0.59233459,0.01070687,0.04244333,0.99904150,0.49639311,0.00000000,0.00000000,0.00000000,1.00000000,3.07956372,22.98011952,7.15614553,56.68419348,11258.67460331,1,1,1,0,0,0,1
ME-TReg,0,6,0.16438345,0.06175615,0.58900100,3.15891791,0.75127022,0.02561059,0.81444768,-0.00291871,0.00020694,0.00093320,-0.00772332,-0.04141765,0.00034202,3.16423971,5.44390016,-3.48946413,1.24302050,4.72525255,-0.16732543,2.26790619,0.99926912,-0.03713420,-0.00907080,0.12738465,0.03674468,0.99852863,-0.03987977,0.55069031,0.01053836,0.03951732,0.99916331,0.49489421,0.00000000,0.00000000,0.00000000,1.00000000,2.75653937,19.85169060,6.75539365,42.93644087,9884.22490160,1,1,1,0,0,0,1
ME-TReg,0,7,0.15576265,0.06400423,0.56111600,3.05281907,0.72070820,0.02586529,0.79403134,-0.00313856,0.00023414,0.00058054,-0.00575281,-0.03926374,-0.00048713,10.24328028,3.31336509,-4.38444584,0.87427030,4.14648318,-0.08743667,2.11160263,0.99924951,-0.03768602,-0.00895425,0.12309849,0.03733336,0.99862736,-0.03673699,0.51129239,0.01032643,0.03637513,0.99928485,0.49279526,0.00000000,0.00000000,0.00000000,1.00000000,2.75478593,16.49003347,5.36143827,37.62817508,8725.36640434,1,1,1,0,0,0,1
ME-TReg,0,8,0.15211489,0.06731024,0.54331100,2.90936070,0.69098339,0.02692023,0.77567289,-0.00264415,0.00038561,-0.00090134,-0.00755688,-0.03928993,-0.00018245,2.95117998,2.78992667,0.50742913,1.04025589,4.60766211,-0.16123686,2.12890773,0.99928646,-0.03676204,-0.00866735,0.11702960,0.03644685,0.99875424,-0.03408208,0.47178097,0.00990948,0.03374186,0.99938145,0.49110573,0.00000000,0.00000000,0.00000000,1.00000000,2.53041688,16.45816351,5.77121667,36.98774535,9404.06712243,1,1,1,0,0,0,1
ME-TReg,0,9,0.14477791,0.07048400,0.51213500,2.67735444,0.65981076,0.02732802,0.75458874,-0.00282423,0.00049485,-0.00287385,-0.00924965,-0.04403650,0.00107424,-3.29446801,5.86759639,5.81862925,1.26120715,5.40281341,-0.22650157,2.03172725,0.99939214,-0.03386617,-0.00827257,0.10939611,0.03359246,0.99894713,-0.03124377,0.42742559,0.00932197,0.03094688,0.99947756,0.49060178,0.00000000,0.00000000,0.00000000,1.00000000,2.39814873,17.71037990,6.20096633,48.39454891,10491.82736791,1,1,1,0,0,0,1
ME-TReg,0,10,0.13681363,0.07431896,0.53878000,2.41028922,0.62826597,0.02793401,0.72933215,-0.00329013,0.00083341,-0.00320570,-0.00868500,-0.04578446,-0.00044883,4.39246490,-2.68167719,5.00046061,0.52960764,5.05857261,-0.11241747,1.89249096,0.99950212,-0.03063621,-0.00754573,0.10227065,0.03041447,0.99914707,-0.02793009,0.38141160,0.00839497,0.02768669,0.99958140,0.48865534,0.00000000,0.00000000,0.00000000,1.00000000,3.45278709,17.66781076,7.16396100,49.23517131,10379.69372453,1,1,1,0,0,0,1
ME-TReg,0,11,0.13434117,0.07722825,0.56632700,2.09353394,0.59656115,0.02842198,0.69906377,-0.00311626,0.00104699,-0.00451453,-0.01677076,-0.04590615,-0.00138912,1.44941090,4.59414479,6.83024755,2.15255154,5.25743666,-0.03541988,1.80214386,0.99963759,-0.02610159,-0.00658760,0.08692511,0.02593091,0.99935640,-0.02478666,0.33507333,0.00723033,0.02460686,0.99967106,0.48585502,0.00000000,0.00000000,0.00000000,1.00000000,3.19433733,18.82707399,8.43826322,45.07939074,10266.85044859,1,1,1,0,0,0,1
ME-TReg,0,12,0.11667574,0.09098122,0.50809100,1.82068971,0.56721615,0.03135292,0.66810826,-0.00351718,0.00097287,-0.00309353,-0.01702858,-0.04675278,-0.00108671,9.73172806,8.25594312,7.50129512,2.77991365,5.43730302,-0.12496597,1.69242971,0.99971950,-0.02298744,-0.00570136,0.07113018,0.02286152,0.99951282,-0.02124773,0.28793601,0.00618701,0.02111143,0.99975798,0.48349510,0.00000000,0.00000000,0.00000000,1.00000000,2.29000251,19.62359656,7.40398498,43.88781538,9646.41789285,1,1,1,0,0,0,1
ME-TReg,0,13,0.10386845,0.10790796,0.55914100,1.53635837,0.53766849,0.03158023,0.63143913,-0.00305176,0.00133058,-0.00371959,-0.01842037,-0.04630507,-0.00496561,-2.86218680,4.31785666,10.65778002,2.85652999,6.56370347,0.26480474,1.56632953,0.99980480,-0.01925327,-0.00443554,0.05380773,0.01916970,0.99965114,-0.01816928,0.24133789,0.00478381,0.01808071,0.99982509,0.47743916,0.00000000,0.00000000,0.00000000,1.00000000,2.71112087,20.21941131,10.51645947,44.16955142,10324.13527557,1,1,1,0,0,0,1
ME-TReg,0,14,0.09865547,0.12919862,0.61873700,1.10407220,0.50735631,0.03170671,0.56194350,-0.00415407,0.00230684,-0.00614595,-0.02056381,-0.05947911,-0.00375710,4.14740753,-35.79438806,18.51472830,0.41651067,8.91132251,0.09738781,1.83645020,0.99991185,-0.01309438,-0.00219621,0.03440977,0.01306243,0.99981696,-0.01397912,0.18155358,0.00237885,0.01394920,0.99989988,0.47250893,0.00000000,0.00000000,0.00000000,1.00000000,3.68331313,20.36931490,13.69293611,33.85296527,9643.44824583,1,1,1,0,0,0,1
ME-TReg,0,15,0.08454178,0.13938112,0.59313900,0.66988511,0.47978993,0.06257294,0.44338914,-0.00305221,0.00109325,-0.00905673,-0.01583225,-0.05074798,-0.01053758,-5.75816906,10.53030058,35.14953852,2.94117553,8.64194773,0.37840135,1.53052963,0.99999123,-0.00403295,-0.00112914,0.01926657,0.00402038,0.99993232,-0.01091793,0.13075540,0.00117309,0.01091329,0.99993976,0.46122685,0.00000000,0.00000000,0.00000000,1.00000000,3.38981281,25.55200444,10.50448395,38.59439289,10868.18626699,1,1,1,0,0,0,1
ME-TReg,0,16,0.07008755,0.16120074,0.57733000,0.45275198,0.45432459,0.05729530,0.41405064,-0.00329049,0.00086873,-0.00197353,-0.00978988,-0.04376490,-0.01494958,20.38032786,-2.57592152,11.71381275,1.23821415,7.67734768,0.92298867,1.34128459,0.99999785,-0.00205712,-0.00027043,0.00967016,0.00205500,0.99996882,-0.00762496,0.08711732,0.00028611,0.00762439,0.99997089,0.44578907,0.00000000,0.00000000,0.00000000,1.00000000,2.07493219,25.76208724,7.80698858,51.71231229,11194.12129467,1,1,0,0,0,0,1
ME-TReg,0,17,0.06092308,0.16463898,0.60480100,0.32686376,0.43412359,0.02904333,0.39728720,-0.00194087,0.00064747,-0.00173605,-0.00867050,-0.02647719,-0.01573351,2.51498048,1.88016970,18.77460782,1.61450033,5.32155982,1.38648825,1.01810041,0.99999988,-0.00032118,0.00037473,0.00105840,0.00032330,0.99998380,-0.00568337,0.06074311,-0.00037290,0.00568349,0.99998378,0.42985166,0.00000000,0.00000000,0.00000000,1.00000000,1.40381825,30.42785141,4.99513772,73.01465218,13235.65588112,1,1,0,0,0,0,1
ME-TReg,0,18,0.05824495,0.16688707,0.58478600,0.25491680,0.41472620,0.02891037,0.38443323,-0.00139769,0.00071079,-0.00082290,-0.00724825,-0.01772819,-0.01732097,5.63902032,-9.23599050,10.79037776,0.71896109,3.36617971,1.69305052,0.91673853,0.99999929,0.00050070,0.00108565,-0.00619065,-0.00049605,0.99999069,-0.00428575,0.04311131,-0.00108779,0.00428521,0.99999023,0.41243292,0.00000000,0.00000000,0.00000000,1.00000000,1.30393372,31.62382734,4.40518174,78.77257319,13176.96019271,1,1,0,0,0,0,1
ME-TReg,0,19,0.05481094,0.17138323,0.60620800,0.21062899,0.39664361,0.02942766,0.37069391,-0.00084505,0.00013687,0.00007372,-0.00178251,-0.00922197,-0.01728967,8.21721432,-1.39072080,-0.40327444,0.29008843,1.31108132,1.73717814,0.81730746,0.99999916,0.00042601,0.00122292,-0.00799654,-0.00042180,0.99999399,-0.00344078,0.03396441,-0.00122437,0.00344026,0.99999333,0.39510584,0.00000000,0.00000000,0.00000000,1.00000000,1.27340368,31.04546914,4.01899150,80.49854159,12989.32921860,1,1,0,0,0,0,1
ME-TReg,0,20,0.05406377,0.17508596,0.52980100,0.18217141,0.37918729,0.02903255,0.35690242,-0.00047699,-0.00021083,-0.00012459,0.00110228,-0.00609205,-0.01698969,0.06552670,6.22704591,2.44457913,0.19549295,1.25525381,1.72187239,0.79248030,0.99999934,0.00055007,0.00101232,-0.00691763,-0.00054707,0.99999546,-0.00296368,0.02793038,-0.00101394,0.00296313,0.99999510,0.37809396,0.00000000,0.00000000,0.00000000,1.00000000,1.30723079,31.84850161,4.12954917,85.47880026,13628.00114264,1,1,0,0,0,0,1
ME-TReg,0,21,0.05243510,0.17720180,0.53918700,0.16544924,0.36219930,0.02940610,0.34332730,-0.00032351,-0.00015264,-0.00024446,0.00179625,-0.00422390,-0.01669679,-0.53341423,0.33701705,4.13521270,-0.40514837,0.90678454,1.71365694,0.75579255,0.99999931,0.00079423,0.00085990,-0.00514061,-0.00079195,0.99999620,-0.00264007,0.02375500,-0.00086199,0.00263939,0.99999615,0.36138291,0.00000000,0.00000000,0.00000000,1.00000000,1.29452252,31.15659922,4.17891076,85.33417067,13671.91365963,1,1,0,0,0,0,1
ME-TReg,0,22,0.05161546,0.17892092,0.59245800,0.16187941,0.34491121,0.02939904,0.32875739,-0.00009382,-0.00001096,-0.00008912,0.00020049,-0.00156839,-0.01722039,-2.74963433,-0.91332981,1.47617861,-0.07238454,0.42025485,1.80728492,0.72774586,0.99999925,0.00088326,0.00084902,-0.00495618,-0.00088110,0.99999637,-0.00254625,0.02223192,-0.00085127,0.00254550,0.99999640,0.34415828,0.00000000,0.00000000,0.00000000,1.00000000,1.26879319,28.87446419,3.99596196,77.55176286,12570.43110060,1,1,0,0,0,0,1
ME-TReg,0,23,0.04992328,0.18169796,0.57535500,0.15561332,0.32782984,0.03048492,0.31415586,-0.00012486,-0.00002930,-0.00003508,0.00047503,-0.00111394,-0.01703983,0.49557245,-1.42014305,0.70507082,-0.16134743,0.08829031,1.78990097,0.70023138,0.99999924,0.00091824,0.00081984,-0.00449660,-0.00091626,0.99999665,-0.00242136,0.02116095,-0.00082206,0.00242060,0.99999673,0.32711527,0.00000000,0.00000000,0.00000000,1.00000000,1.26702941,27.54983684,3.94400565,71.89202523,11749.98955309,1,1,0,0,0,0,1
ME-TReg,0,24,0.04906241,0.18354933,0.56022300,0.14729319,0.30989342,0.03046399,0.29845816,-0.00013896,-0.00004189,0.00002608,0.00028480,-0.00119457,-0.01789435,0.55194228,-0.39223153,-0.25652855,-0.01165471,0.08312969,1.89626339,0.68841330,0.99999930,0.00089205,0.00077807,-0.00422757,-0.00089027,0.99999700,-0.00228236,0.02000945,-0.00078011,0.00228167,0.99999709,0.30921785,0.00000000,0.00000000,0.00000000,1.00000000,1.27635441,24.07146791,4.02685780,60.66311083,10131.17298382,1,1,0,0,0,0,1
ME-TReg,0,25,0.04722667,0.18632637,0.56186100,0.14093028,0.29168994,0.03056233,0.28249757,-0.00016057,0.00004492,-0.00004188,-0.00057268,-0.00152177,-0.01815391,0.58638972,-2.10895532,0.40786795,0.07372324,0.14034765,1.94443060,0.64902512,0.99999923,0.00093381,0.00082314,-0.00481574,-0.00093206,0.99999731,-0.00212183,0.01852963,-0.00082512,0.00212106,0.99999741,0.29106096,0.00000000,0.00000000,0.00000000,1.00000000,1.36124299,21.59242763,4.18857273,53.57034192,9122.29223298,1,1,0,0,0,0,1
ME-TReg,0,26,0.04550904,0.18910341,0.53389000,0.13759465,0.27409094,0.06337475,0.26701310,-0.00008100,-0.00004533,-0.00006562,0.00017060,-0.00057916,-0.01759928,-0.37856711,-0.24414716,0.92339887,0.04180153,0.00602240,1.89948957,0.61852078,0.99999920,0.00099937,0.00077789,-0.00466016,-0.00099778,0.99999742,-0.00204079,0.01798765,-0.00077993,0.00204001,0.99999762,0.27346036,0.00000000,0.00000000,0.00000000,1.00000000,1.36600765,20.32229157,4.05331458,48.63494526,8215.31653708,1,1,0,0,0,0,1
ME-TReg,0,27,0.04531647,0.19069029,0.58161800,0.12768845,0.25596834,0.07813079,0.25076156,-0.00014491,-0.00016459,0.00000043,0.00105136,-0.00136841,-0.01805658,0.05450869,3.20113248,0.20859005,0.07238483,0.17276978,1.94052943,0.61469818,0.99999931,0.00099884,0.00061345,-0.00362422,-0.00099767,0.99999771,-0.00189572,0.01665504,-0.00061534,0.00189511,0.99999801,0.25540021,0.00000000,0.00000000,0.00000000,1.00000000,1.39888487,18.89199877,4.04812956,44.90332484,7495.17911542,1,1,0,0,0,0,1
ME-TReg,0,28,0.04351068,0.19174821,0.60732300,0.11960992,0.23846363,0.09007466,0.23492214,-0.00013858,-0.00010442,-0.00000747,0.00086158,-0.00140435,-0.01743983,-0.18148522,0.62478943,0.26743511,-0.07128698,0.19287497,1.88871451,0.57649740,0.99999936,0.00100623,0.00050917,-0.00277473,-0.00100534,0.99999795,-0.00175703,0.01528290,-0.00051093,0.00175652,0.99999833,0.23795722,0.00000000,0.00000000,0.00000000,1.00000000,1.42487328,18.21288287,4.01079890,42.29643161,7016.42581186,1,1,0,0,0,0,1
ME-TReg,0,29,0.04177334,0.19386406,0.54174100,0.11177618,0.22180418,0.10257181,0.21959260,-0.00013172,-0.00009744,0.00000838,0.00080540,-0.00114473,-0.01661236,0.58017567,0.52803710,-0.01118065,-0.06518596,0.08570356,1.80760370,0.54427549,0.99999942,0.00099780,0.00041185,-0.00197895,-0.00099712,0.99999818,-0.00162521,0.01416655,-0.00041348,0.00162480,0.99999859,0.22134247,0.00000000,0.00000000,0.00000000,1.00000000,1.46310026,17.42136324,4.05551128,40.52946997,6713.52003838,1,0,0,0,0,0,1
ME-TSVD,0,0,0.31669773,0.05170590,0.82366900,1.50489550,0.78711265,0.01396161,0.71654119,-0.00020120,0.00471427,-0.00949907,-0.12209679,-0.25147403,-1.06014413,-11.53098942,58.00713490,10.00087886,4.90875050,1.81945118,0.28048504,3.71012454,0.99965610,-0.02540262,0.00651117,0.08483957,0.02541185,0.99967617,-0.00134009,0.54620300,-0.00647502,0.00150509,0.99997790,-0.56036671,0.00000000,0.00000000,0.00000000,1.00000000,7.09889815,26.80557587,13.65817741,85.29248112,14845.67227786,1,1,1,0,0,0,1
ME-TSVD,0,1,0.31420234,0.07498016,0.97911800,1.23430178,0.08186025,0.03790496,0.49884622,-0.01243988,-0.00070111,-0.00782720,-0.05658041,-0.48575111,0.59698256,-103.46487458,71.38097987,9.19132194,5.98518586,10.12117769,-0.06106962,7.08589747,0.99982882,-0.01765227,0.00554243,0.04450503,0.01759004,0.99978387,0.01108158,0.05837137,-0.00573684,-0.01098219,0.99992324,0.03623792,0.00000000,0.00000000,0.00000000,1.00000000,3.03395386,29.42779106,5.62114143,54.80313402,13213.61750788,1,1,1,0,0,0,1
ME-TSVD,0,2,0.15998591,0.19478974,0.64560200,1.01617583,0.10045754,0.06210697,0.37201712,-0.00373834,0.00372096,-0.01466545,-0.04202140,-0.04917273,0.06295542,-404.66201735,268.96792437,53.00293864,24.62456939,35.84332972,0.20328886,6.84589420,0.99995291,-0.00301573,0.00922443,0.00370776,0.00287846,0.99988548,0.01485747,0.00916775,-0.00926818,-0.01483021,0.99984707,0.09996960,0.00000000,0.00000000,0.00000000,1.00000000,4.11152746,20.46192009,9.74066448,47.20295330,6037.22872194,1,1,0,0,0,0,1
ME-TSVD,0,3,0.14784635,0.17389579,0.61363500,0.96861254,0.01853832,0.06206794,0.34855033,0.00031102,-0.00061205,-0.00305351,0.01039211,0.00206894,-0.10875820,-369.61270802,234.49654710,28.34535571,20.52812673,30.33591828,1.12794419,5.66883120,0.99996291,0.00004044,0.00861286,0.01308991,-0.00016572,0.99989419,0.01454565,0.00965050,-0.00861137,-0.01454654,0.99985711,-0.00889896,0.00000000,0.00000000,0.00000000,1.00000000,2.65070877,19.98327450,3.81243519,42.96863119,5468.61203993,1,1,0,0,0,0,1
ME-TSVD,0,4,0.14626377,0.17442476,0.59409100,0.95382228,0.03935076,0.06221136,0.34542332,0.00018255,-0.00020308,0.00039248,0.00229245,0.00089932,0.04322101,-365.70186231,230.48212436,4.14766771,21.15447520,30.16937178,0.49815379,5.48066710,0.99996458,-0.00035048,0.00840982,0.01575457,0.00022966,0.99989682,0.01436312,0.01117802,-0.00841399,-0.01436067,0.99986148,0.03428305,0.00000000,0.00000000,0.00000000,1.00000000,2.79269157,19.37241922,2.78421782,40.58275020,5336.30826126,1,1,0,0,0,0,1
ME-TSVD,0,5,0.14579390,0.17693732,0.58377100,0.96917667,0.02588522,0.06210990,0.34887940,-0.00020836,0.00016318,0.00023695,-0.00174270,-0.00239822,-0.01424683,-366.81082355,229.55525663,5.39305491,21.51601754,30.52795202,0.53705754,5.47909370,0.99996308,-0.00058919,0.00857290,0.01389296,0.00046422,0.99989372,0.01457151,0.00857502,-0.00858058,-0.01456699,0.99985708,0.02008730,0.00000000,0.00000000,0.00000000,1.00000000,2.64114529,20.83130851,2.82699570,45.80211078,5769.46185652,1,1,0,0,0,0,1
ME-TSVD,0,6,0.14488734,0.17693732,0.58269200,0.97406899,0.02882447,0.06148244,0.34993907,-0.00002409,0.00013553,-0.00016951,-0.00176650,-0.00010146,0.00459316,-366.98268843,225.17899474,10.34238048,21.28173243,30.60873086,0.49799773,5.45575180,0.99996199,-0.00041989,0.00870842,0.01216596,0.00029276,0.99989344,0.01459564,0.00853967,-0.00871362,-0.01459254,0.99985555,0.02469643,0.00000000,0.00000000,0.00000000,1.00000000,2.67124720,21.31878256,2.83906739,46.55370457,5802.93470593,1,1,0,0,0,0,1
